X	Y	M11	M22
-6.13	0.61	33.36	38.48
-6.13	0	80.55	168.19
-5.53	0	-11.19	116.17
-5.53	0.61	-35.47	20.64
-6.13	-0.47	149.12	345.68
-5.53	-0.47	56.64	261.79
-6.13	-0.89	116.17	194.11
-5.53	-0.89	-78.44	177.82
-6.13	-1.49	58.41	-53.17
-5.53	-1.49	-106.82	66.27
-6.13	-2.09	-80.55	-131.98
-5.53	-2.09	-116.07	-138.17
-6.13	-2.69	-107.88	-175.91
-5.53	-2.69	-123.32	-183.23
-6.13	-3.29	-126.72	-192.83
-5.53	-3.29	-130.34	-199.69
-6.13	-3.89	-135.85	-182.79
-5.53	-3.89	-133.84	-184.51
-6.13	-4.49	-131.42	-145.79
-5.53	-4.49	-128.77	-135.92
-6.13	-5.09	-110.58	-84.85
-5.53	-5.09	-109.99	-60.06
-6.13	-5.43	-89.74	-39.66
-5.53	-5.43	-91.81	-5.54
-6.13	-6.29	-90.67	112.05
-5.53	-6.29	-125.74	139.65
-6.13	-6.82	-106.94	258.22
-5.53	-6.82	-150.95	207.23
-6.13	-7.42	-137.73	250.71
-5.53	-7.42	-136.47	207.63
-6.13	-8.09	-41.94	165.68
-5.53	-8.09	-115.08	132.29
-6.13	-8.69	-34.24	-3.00
-5.53	-8.69	-86.73	24.73
-6.13	-9.29	-62.08	-94.62
-5.53	-9.29	-81.16	-99.35
-6.13	-9.89	-74.29	-150.16
-5.53	-9.89	-78.87	-159.30
-6.13	-10.49	-73.10	-172.64
-5.53	-10.49	-71.41	-185.44
-6.13	-11.09	-78.13	-182.96
-5.53	-11.09	-68.13	-192.01
-6.13	-11.69	-82.13	-173.54
-5.53	-11.69	-71.84	-181.97
-6.13	-12.29	-77.52	-135.22
-5.53	-12.29	-72.61	-140.91
-6.13	-12.89	-57.12	-64.05
-5.53	-12.89	-73.80	-61.13
-6.13	-13.49	-22.14	68.86
-5.53	-13.49	-83.65	92.59
-6.13	-14.38	-93.51	190.94
-5.53	-14.38	-81.97	177.61
-6.13	-14.69	-75.91	226.41
-5.53	-14.69	-78.98	175.12
-6.13	-15.29	-39.62	126.27
-5.53	-15.29	-49.94	127.31
-6.13	-15.89	-24.69	42.30
-5.53	-15.89	-34.30	64.35
-4.93	0	-98.51	90.55
-4.93	0.61	-73.13	-6.89
-4.93	-0.47	-146.72	148.75
-4.93	-0.89	-147.68	148.60
-4.93	-1.49	-138.47	63.90
-4.93	-2.09	-123.11	-125.20
-4.93	-2.69	-119.02	-178.28
-4.93	-3.29	-117.29	-198.47
-4.93	-3.89	-114.40	-183.52
-4.93	-4.49	-110.12	-126.31
-4.93	-5.09	-98.07	-33.39
-4.93	-5.43	-70.91	43.43
-4.93	-6.29	-86.39	146.94
